<Filename>    ,<Lower bound on the number of stations>,<Upper bound on the number of stations>
instance_n=20_236,3,3
instance_n=20_237,3,3
instance_n=20_238,3,3
instance_n=20_239,3,3
instance_n=20_240,3,3
instance_n=20_241,13,13
instance_n=20_242,12,12
instance_n=20_243,10,10
instance_n=20_244,11,11
instance_n=20_245,13,13
instance_n=20_246,13,13
instance_n=20_247,11,11
instance_n=20_248,11,11
instance_n=20_249,13,13
instance_n=20_250,10,10
instance_n=20_251,12,12
instance_n=20_252,11,11
instance_n=20_253,11,13
instance_n=20_254,12,12
instance_n=20_255,13,13
instance_n=20_256,14,14
instance_n=20_257,10,10
instance_n=20_258,13,13
instance_n=20_259,13,13
instance_n=20_260,12,12
instance_n=20_261,12,12
instance_n=20_262,11,11
instance_n=20_263,12,12
instance_n=20_264,12,12
instance_n=20_265,12,12
instance_n=20_266,5,5
instance_n=20_267,6,6
instance_n=20_268,6,6
instance_n=20_269,7,7
instance_n=20_270,7,7
instance_n=20_271,6,6
instance_n=20_272,5,5
instance_n=20_273,5,5
instance_n=20_274,6,6
instance_n=20_275,5,5
instance_n=20_276,4,4
instance_n=20_277,4,4
instance_n=20_278,6,6
instance_n=20_279,6,6
instance_n=20_280,5,5
instance_n=20_281,4,4
instance_n=20_282,4,4
instance_n=20_283,5,5
instance_n=20_284,5,5
instance_n=20_285,5,5
instance_n=20_286,5,5
instance_n=20_287,5,5
instance_n=20_288,6,6
instance_n=20_289,5,5
instance_n=20_290,5,5
instance_n=20_291,3,3
instance_n=20_292,3,3
instance_n=20_293,3,3
instance_n=20_294,3,3
instance_n=20_295,3,3
instance_n=20_296,3,3
instance_n=20_297,3,3
instance_n=20_298,3,3
instance_n=20_299,3,3
instance_n=20_300,4,4
instance_n=20_301,3,3
instance_n=20_302,3,3
instance_n=20_303,3,3
instance_n=20_304,3,3
instance_n=20_305,3,3
instance_n=20_306,3,3
instance_n=20_307,3,3
instance_n=20_308,3,3
instance_n=20_309,3,3
instance_n=20_310,3,3
instance_n=20_311,3,3
instance_n=20_312,4,4
instance_n=20_313,3,3
instance_n=20_314,3,3
instance_n=20_315,3,3
instance_n=20_316,10,10
instance_n=20_317,10,10
instance_n=20_318,10,10
instance_n=20_319,14,14
instance_n=20_320,12,12
instance_n=20_321,14,14
instance_n=20_322,12,12
instance_n=20_323,13,13
instance_n=20_324,9,9
instance_n=20_325,14,14
instance_n=20_326,14,14
instance_n=20_327,13,13
instance_n=20_328,13,13
instance_n=20_329,10,10
instance_n=20_330,12,12
instance_n=20_331,13,13
instance_n=20_332,13,13
instance_n=20_333,11,11
instance_n=20_334,10,10
instance_n=20_335,14,14
instance_n=20_336,11,11
instance_n=20_337,10,10
instance_n=20_338,14,14
instance_n=20_339,13,13
instance_n=20_340,11,11
instance_n=20_341,6,6
instance_n=20_342,6,6
instance_n=20_343,6,6
instance_n=20_344,6,6
instance_n=20_345,4,4
instance_n=20_346,5,5
instance_n=20_347,6,6
instance_n=20_348,5,5
instance_n=20_349,5,5
instance_n=20_350,5,5
instance_n=20_351,5,5
instance_n=20_352,4,4
instance_n=20_353,6,6
instance_n=20_354,6,6
instance_n=20_355,5,5
instance_n=20_356,5,5
instance_n=20_357,5,5
instance_n=20_358,4,4
instance_n=20_359,4,4
instance_n=20_360,6,6
instance_n=20_361,5,5
instance_n=20_362,5,5
instance_n=20_363,7,7
instance_n=20_364,4,4
instance_n=20_365,5,5
instance_n=20_366,3,3
instance_n=20_367,3,3
instance_n=20_368,3,3
instance_n=20_369,3,3
instance_n=20_370,3,3
instance_n=20_371,3,3
instance_n=20_372,3,3
instance_n=20_373,3,3
instance_n=20_374,3,3
instance_n=20_375,3,3
instance_n=20_376,3,3
instance_n=20_377,3,3
instance_n=20_378,3,3
instance_n=20_379,4,4
instance_n=20_380,3,3
instance_n=20_381,3,3
instance_n=20_382,4,4
instance_n=20_383,3,3
instance_n=20_384,3,3
instance_n=20_385,3,3
instance_n=20_386,3,3
instance_n=20_387,3,3
instance_n=20_388,3,3
instance_n=20_389,3,3
instance_n=20_390,3,3
instance_n=20_391,11,11
instance_n=20_392,14,14
instance_n=20_393,11,11
instance_n=20_394,12,12
instance_n=20_395,12,12
instance_n=20_396,13,13
instance_n=20_397,10,10
instance_n=20_398,11,11
instance_n=20_399,13,13
instance_n=20_400,12,12
instance_n=20_401,12,12
instance_n=20_402,12,12
instance_n=20_403,12,12
instance_n=20_404,10,10
instance_n=20_405,12,12
instance_n=20_406,14,14
instance_n=20_407,10,10
instance_n=20_408,14,14
instance_n=20_409,12,12
instance_n=20_410,11,11
instance_n=20_411,15,15
instance_n=20_412,11,11
instance_n=20_413,10,10
instance_n=20_414,12,12
instance_n=20_415,10,10
instance_n=20_416,6,6
instance_n=20_417,5,5
instance_n=20_418,6,6
instance_n=20_419,4,4
instance_n=20_420,5,5
instance_n=20_421,6,6
instance_n=20_422,4,4
instance_n=20_423,6,6
instance_n=20_424,5,5
instance_n=20_425,6,6
instance_n=20_426,5,5
instance_n=20_427,6,6
instance_n=20_428,5,5
instance_n=20_429,4,4
instance_n=20_430,5,5
instance_n=20_431,6,6
instance_n=20_432,5,5
instance_n=20_433,5,5
instance_n=20_434,5,5
instance_n=20_435,7,7
instance_n=20_436,5,5
instance_n=20_437,5,5
instance_n=20_438,6,6
instance_n=20_439,5,5
instance_n=20_440,5,5
instance_n=20_441,3,3
instance_n=20_442,3,3
instance_n=20_443,3,3
instance_n=20_444,3,3
instance_n=20_445,3,3
instance_n=20_446,3,3
instance_n=20_447,3,3
instance_n=20_448,3,3
instance_n=20_449,3,3
instance_n=20_450,3,3
instance_n=20_451,3,3
instance_n=20_452,3,3
instance_n=20_453,3,3
instance_n=20_454,3,3
instance_n=20_455,3,3
instance_n=20_456,4,4
instance_n=20_457,3,3
instance_n=20_458,3,3
instance_n=20_459,3,3
instance_n=20_460,3,3
instance_n=20_461,3,3
instance_n=20_462,3,3
instance_n=20_463,3,3
instance_n=20_464,3,3
instance_n=20_465,3,3
instance_n=20_466,13,13
instance_n=20_467,12,14
instance_n=20_468,13,13
instance_n=20_469,14,14
instance_n=20_470,12,12
instance_n=20_471,12,12
instance_n=20_472,13,13
instance_n=20_473,10,10
instance_n=20_474,14,14
instance_n=20_475,11,11
instance_n=20_476,11,11
instance_n=20_477,11,11
instance_n=20_478,12,12
instance_n=20_479,13,13
instance_n=20_480,13,13
instance_n=20_481,13,13
instance_n=20_482,13,13
instance_n=20_483,12,12
instance_n=20_484,13,13
instance_n=20_485,15,15
instance_n=20_486,11,11
instance_n=20_487,12,12
instance_n=20_488,15,15
instance_n=20_489,12,12
instance_n=20_490,12,12
instance_n=20_491,6,6
instance_n=20_492,5,5
instance_n=20_493,5,5
instance_n=20_494,6,6
instance_n=20_495,6,6
instance_n=20_496,5,5
instance_n=20_497,6,6
instance_n=20_498,6,6
instance_n=20_499,5,5
instance_n=20_500,8,8
instance_n=20_501,5,5
instance_n=20_502,4,4
instance_n=20_503,6,6
instance_n=20_504,6,6
instance_n=20_505,6,6
instance_n=20_506,5,5
instance_n=20_507,5,5
instance_n=20_508,5,5
instance_n=20_509,4,4
instance_n=20_510,5,5
instance_n=20_511,5,5
instance_n=20_512,5,5
instance_n=20_513,5,5
instance_n=20_514,5,5
instance_n=20_515,6,6
instance_n=20_516,3,3
instance_n=20_517,3,3
instance_n=20_518,3,3
instance_n=20_519,3,3
instance_n=20_520,3,3
instance_n=20_521,3,3
instance_n=20_522,3,3
instance_n=20_523,3,3
instance_n=20_524,3,3
instance_n=20_525,3,3
