Instance,Previous LB,Previous UB
instance_n=1000_133,226,227
instance_n=1000_134,215,215
instance_n=1000_135,225,228
instance_n=1000_136,228,230
instance_n=1000_137,213,215
instance_n=1000_138,221,224
instance_n=1000_139,224,227
instance_n=1000_140,226,228
instance_n=1000_141,215,219
instance_n=1000_142,220,223
instance_n=1000_143,213,216
instance_n=1000_144,217,220
instance_n=1000_145,220,223
instance_n=1000_146,219,222
instance_n=1000_147,229,232
instance_n=1000_148,219,219
instance_n=1000_149,237,240
instance_n=1000_150,222,225
instance_n=1000_151,138,138
instance_n=1000_152,136,136
instance_n=1000_153,137,137
instance_n=1000_154,140,140
instance_n=1000_155,139,139
instance_n=1000_156,141,141
instance_n=1000_157,140,140
instance_n=1000_158,136,136
instance_n=1000_159,138,138
instance_n=1000_160,138,138
instance_n=1000_161,133,133
instance_n=1000_162,136,136
instance_n=1000_163,139,139
instance_n=1000_164,141,141
instance_n=1000_165,135,135
instance_n=1000_166,139,139
instance_n=1000_167,139,139
instance_n=1000_168,138,138
instance_n=1000_169,134,134
instance_n=1000_170,134,134
instance_n=1000_171,137,137
instance_n=1000_172,135,135
instance_n=1000_173,135,135
instance_n=1000_174,136,136
instance_n=1000_175,138,138
instance_n=1000_176,507,529
instance_n=1000_177,505,528
instance_n=1000_178,521,547
instance_n=1000_179,516,546
instance_n=1000_180,522,544
instance_n=1000_181,515,553
instance_n=1000_182,513,538
instance_n=1000_183,510,534
instance_n=1000_184,510,540
instance_n=1000_185,512,540
instance_n=1000_186,505,533
instance_n=1000_187,520,556
instance_n=1000_188,504,527
instance_n=1000_189,501,534
instance_n=1000_190,512,535
instance_n=1000_191,510,541
instance_n=1000_192,507,530
instance_n=1000_193,511,535
instance_n=1000_194,508,532
instance_n=1000_195,517,538
instance_n=1000_196,515,537
instance_n=1000_197,499,524
instance_n=1000_198,515,544
instance_n=1000_199,497,525
instance_n=1000_200,500,537
instance_n=1000_201,229,231
instance_n=1000_202,225,225
instance_n=1000_203,229,232
instance_n=1000_204,228,230
instance_n=1000_205,229,231
instance_n=1000_206,229,230
instance_n=1000_207,230,230
instance_n=1000_208,229,231
instance_n=1000_209,228,228
instance_n=1000_210,224,224
instance_n=1000_211,219,221
instance_n=1000_212,217,219
instance_n=1000_213,233,236
instance_n=1000_214,225,226
instance_n=1000_215,223,224
instance_n=1000_216,221,222
instance_n=1000_217,225,227
instance_n=1000_218,219,221
instance_n=1000_219,232,233
instance_n=1000_220,225,227
instance_n=1000_221,231,233
instance_n=1000_222,221,222
instance_n=1000_223,221,222
instance_n=1000_224,226,227
instance_n=1000_225,229,231
instance_n=1000_226,136,136
instance_n=1000_227,138,138
instance_n=1000_228,133,133
instance_n=1000_229,134,134
instance_n=1000_230,131,131
instance_n=1000_231,138,138
instance_n=1000_232,133,133
instance_n=1000_233,135,135
instance_n=1000_234,137,137
instance_n=1000_235,133,133
instance_n=1000_236,136,136
instance_n=1000_237,138,138
instance_n=1000_238,138,138
instance_n=1000_239,135,135
instance_n=1000_240,135,135
instance_n=1000_241,138,138
instance_n=1000_242,135,135
instance_n=1000_243,137,137
instance_n=1000_244,137,137
instance_n=1000_245,135,135
instance_n=1000_246,135,135
instance_n=1000_247,138,138
instance_n=1000_248,138,138
instance_n=1000_249,138,138
instance_n=1000_250,140,140
instance_n=1000_251,516,557
instance_n=1000_252,512,558
instance_n=1000_253,511,557
instance_n=1000_254,511,555
instance_n=1000_255,504,546
instance_n=1000_256,496,546
instance_n=1000_257,517,558
instance_n=1000_258,502,549
instance_n=1000_259,498,544
instance_n=1000_260,495,542
instance_n=1000_261,509,548
instance_n=1000_262,501,538
instance_n=1000_263,514,545
instance_n=1000_264,500,551
instance_n=1000_265,527,568
instance_n=1000_266,507,543
instance_n=1000_267,519,566
instance_n=1000_268,504,537
instance_n=1000_269,503,553
instance_n=1000_270,532,570
instance_n=1000_271,501,545
instance_n=1000_272,516,554
instance_n=1000_273,512,550
instance_n=1000_274,507,551
instance_n=1000_275,516,563
instance_n=1000_276,217,220
instance_n=1000_277,225,227
instance_n=1000_278,220,220
instance_n=1000_279,215,218
instance_n=1000_280,226,229
instance_n=1000_281,219,223
instance_n=1000_282,214,215
instance_n=1000_283,224,224
instance_n=1000_284,217,220
instance_n=1000_285,221,225
instance_n=1000_286,221,224
instance_n=1000_287,224,227
instance_n=1000_288,219,222
instance_n=1000_289,220,223
instance_n=1000_290,222,224
instance_n=1000_291,225,227
instance_n=1000_292,226,228
instance_n=1000_293,225,225
instance_n=1000_294,230,234
instance_n=1000_295,227,228
instance_n=1000_296,208,211
instance_n=1000_297,217,218
instance_n=1000_298,214,217
instance_n=1000_299,226,230
instance_n=1000_300,228,232
instance_n=1000_301,137,137
instance_n=1000_302,139,139
instance_n=1000_303,138,138
instance_n=1000_304,136,136
instance_n=1000_305,140,140
instance_n=1000_306,135,135
instance_n=1000_307,136,136
instance_n=1000_308,137,137
instance_n=1000_309,135,135
instance_n=1000_310,141,141
instance_n=1000_311,139,139
instance_n=1000_312,135,135
instance_n=1000_313,138,138
instance_n=1000_314,142,142
instance_n=1000_315,136,136
instance_n=1000_316,137,137
instance_n=1000_317,136,136
instance_n=1000_318,138,138
instance_n=1000_319,140,140
instance_n=1000_320,141,141
instance_n=1000_321,140,140
instance_n=1000_322,139,139
instance_n=1000_323,138,138
instance_n=1000_324,140,140
instance_n=1000_325,138,138
instance_n=1000_326,504,523
instance_n=1000_327,509,536
instance_n=1000_328,506,532
instance_n=1000_329,509,535
instance_n=1000_330,509,522
instance_n=1000_331,502,531
instance_n=1000_332,497,524
instance_n=1000_333,515,539
instance_n=1000_334,501,520
instance_n=1000_335,511,526
instance_n=1000_336,502,528
instance_n=1000_337,515,535
instance_n=1000_338,512,540
instance_n=1000_339,526,542
instance_n=1000_340,531,545
instance_n=1000_341,513,539
instance_n=1000_342,506,530
instance_n=1000_343,510,540
instance_n=1000_344,510,531
instance_n=1000_345,510,538
instance_n=1000_346,505,528
instance_n=1000_347,505,531
instance_n=1000_348,539,553
instance_n=1000_349,512,535
instance_n=1000_350,498,526
instance_n=1000_351,227,229
instance_n=1000_352,227,229
instance_n=1000_353,217,218
instance_n=1000_354,222,224
instance_n=1000_355,220,222
instance_n=1000_356,226,227
instance_n=1000_357,213,214
instance_n=1000_358,219,220
instance_n=1000_359,222,224
instance_n=1000_360,229,230
instance_n=1000_361,215,215
instance_n=1000_362,223,224
instance_n=1000_363,215,217
instance_n=1000_364,221,222
instance_n=1000_365,227,229
instance_n=1000_366,228,230
instance_n=1000_367,227,228
instance_n=1000_368,226,228
instance_n=1000_369,220,221
instance_n=1000_370,223,224
instance_n=1000_371,220,221
instance_n=1000_372,230,232
instance_n=1000_373,219,220
instance_n=1000_374,219,220
instance_n=1000_375,227,229
instance_n=1000_376,132,132
instance_n=1000_377,137,137
instance_n=1000_378,134,134
instance_n=1000_379,137,137
instance_n=1000_380,134,134
instance_n=1000_381,138,138
instance_n=1000_382,131,131
instance_n=1000_383,138,138
instance_n=1000_384,139,139
instance_n=1000_385,135,135
instance_n=1000_386,139,139
instance_n=1000_387,137,137
instance_n=1000_388,137,137
instance_n=1000_389,136,136
instance_n=1000_390,136,136
instance_n=1000_391,135,135
instance_n=1000_392,136,136
instance_n=1000_393,136,136
instance_n=1000_394,138,138
instance_n=1000_395,139,139
instance_n=1000_396,136,136
instance_n=1000_397,140,140
instance_n=1000_398,134,134
instance_n=1000_399,139,139
instance_n=1000_400,140,140
instance_n=1000_401,500,547
instance_n=1000_402,518,565
instance_n=1000_403,511,557
instance_n=1000_404,505,550
instance_n=1000_405,514,557
instance_n=1000_406,497,542
instance_n=1000_407,500,548
instance_n=1000_408,520,567
instance_n=1000_409,512,559
instance_n=1000_410,523,561
instance_n=1000_411,504,541
instance_n=1000_412,509,547
instance_n=1000_413,515,547
instance_n=1000_414,505,557
instance_n=1000_415,509,553
instance_n=1000_416,520,561
instance_n=1000_417,550,585
instance_n=1000_418,507,548
instance_n=1000_419,537,574
instance_n=1000_420,512,551
instance_n=1000_421,506,546
instance_n=1000_422,499,546
instance_n=1000_423,515,557
instance_n=1000_424,496,545
instance_n=1000_425,527,563
instance_n=1000_426,224,227
instance_n=1000_427,229,232
instance_n=1000_428,224,227
instance_n=1000_429,235,237
instance_n=1000_430,220,223
instance_n=1000_431,230,232
instance_n=1000_432,227,230
instance_n=1000_433,229,233
instance_n=1000_434,212,214
instance_n=1000_435,227,230
instance_n=1000_436,226,230
instance_n=1000_437,222,225
instance_n=1000_438,221,224
instance_n=1000_439,225,228
instance_n=1000_440,225,225
instance_n=1000_441,221,225
instance_n=1000_442,230,234
instance_n=1000_443,217,220
instance_n=1000_444,222,225
instance_n=1000_445,229,233
instance_n=1000_446,228,231
instance_n=1000_447,221,225
instance_n=1000_448,222,222
instance_n=1000_449,232,236
instance_n=1000_450,220,220
instance_n=1000_451,136,136
instance_n=1000_452,132,133
instance_n=1000_453,138,138
instance_n=1000_454,139,140
instance_n=1000_455,136,137
instance_n=1000_456,135,135
instance_n=1000_457,137,137
instance_n=1000_458,135,135
instance_n=1000_459,137,138
instance_n=1000_460,138,138
instance_n=1000_461,137,137
instance_n=1000_462,136,136
instance_n=1000_463,136,136
instance_n=1000_464,138,139
instance_n=1000_465,138,138
instance_n=1000_466,133,133
instance_n=1000_467,138,138
instance_n=1000_468,137,138
instance_n=1000_469,137,137
instance_n=1000_470,135,135
instance_n=1000_471,135,135
instance_n=1000_472,140,140
instance_n=1000_473,135,135
instance_n=1000_474,136,137
instance_n=1000_475,136,136
instance_n=1000_476,519,585
instance_n=1000_477,526,597
instance_n=1000_478,545,607
instance_n=1000_479,513,588
instance_n=1000_480,508,582
instance_n=1000_481,519,594
instance_n=1000_482,541,604
instance_n=1000_483,506,588
instance_n=1000_484,535,598
instance_n=1000_485,521,594
instance_n=1000_486,510,582
instance_n=1000_487,524,597
instance_n=1000_488,511,581
instance_n=1000_489,502,578
instance_n=1000_490,514,594
instance_n=1000_491,507,585
instance_n=1000_492,527,606
instance_n=1000_493,498,571
instance_n=1000_494,514,583
instance_n=1000_495,530,606
instance_n=1000_496,505,569
instance_n=1000_497,504,580
instance_n=1000_498,523,593
instance_n=1000_499,505,579
instance_n=1000_500,512,591
instance_n=1000_501,227,234
instance_n=1000_502,224,230
instance_n=1000_503,224,231
instance_n=1000_504,227,234
instance_n=1000_505,213,218
instance_n=1000_506,223,230
instance_n=1000_507,220,227
instance_n=1000_508,219,225
instance_n=1000_509,225,232
instance_n=1000_510,226,234
instance_n=1000_511,230,237
instance_n=1000_512,219,227
instance_n=1000_513,219,226
instance_n=1000_514,226,232
instance_n=1000_515,221,227
instance_n=1000_516,229,236
instance_n=1000_517,221,228
instance_n=1000_518,220,226
instance_n=1000_519,221,226
instance_n=1000_520,226,231
instance_n=1000_521,229,236
instance_n=1000_522,215,221
instance_n=1000_523,220,226
instance_n=1000_524,225,233
instance_n=1000_525,221,227
,,
,,
