<Filename>    ,<Lower bound on the number of stations>,<Upper bound on the number of stations>
instance_n=50_483,28,30
instance_n=50_484,30,32
instance_n=50_485,29,31
instance_n=50_486,30,32
instance_n=50_487,30,31
instance_n=50_488,28,31
instance_n=50_489,33,35
instance_n=50_490,29,29
instance_n=50_491,33,35
instance_n=50_492,28,30
instance_n=50_493,27,30
instance_n=50_494,30,32
instance_n=50_495,34,34
instance_n=50_496,27,29
instance_n=50_497,28,30
instance_n=50_498,28,30
instance_n=50_499,31,33
instance_n=50_500,30,34
instance_n=50_501,12,12
instance_n=50_502,10,10
instance_n=50_503,13,13
instance_n=50_504,11,11
instance_n=50_505,12,12
instance_n=50_506,11,11
instance_n=50_507,13,13
instance_n=50_508,14,14
instance_n=50_509,13,13
instance_n=50_510,11,11
instance_n=50_511,13,13
instance_n=50_512,13,13
instance_n=50_513,12,12
instance_n=50_514,12,12
instance_n=50_515,11,11
instance_n=50_516,13,13
instance_n=50_517,14,14
instance_n=50_518,11,11
instance_n=50_519,12,12
instance_n=50_520,11,11
instance_n=50_521,10,10
instance_n=50_522,11,11
instance_n=50_523,11,11
instance_n=50_524,14,14
instance_n=50_525,11,11
